Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDays,AmountPaid30,AmountPaid60,AmountPaid360,LoanStatus360
Product B,Male,Location 17,Region 3,16600,6/27/2014,2000,40,365,3081,4601,15801,Active
Product B,Female,Location 19,Region 2,16600,2/26/2015,2000,40,365,3040,4020,9220,Active
Product A,Male,Location 53,Region 6,19250,10/17/2015,1000,50,365,-300,200,8918,Active
Product C,NotSpecified,Location 54,Region 4,15600,2/4/2013,1000,40,365,2120,3520,12010,Active
Product A,Male,Location 46,Region 2,19250,6/3/2016,1000,50,365,-2000,-550,13850,Active
Product B,Male,Location 44,Region 1,16600,5/24/2014,2000,40,365,3051,4081,11971,Active
Product B,Male,Location 39,Region 6,16600,2/20/2014,2000,40,365,4601,4601,15561,Active
Product B,Male,Location 30,Region 2,16600,5/10/2014,2000,40,365,2971,4011,8931,Active
Product D,Male,Location 56,Region 3,20250,5/17/2013,2000,50,365,3400,4800,19400,Active
Product A,Female,Location 44,Region 1,22250,6/17/2016,4000,50,365,5450,6950,21750,Active
Product B,Male,Location 57,Region 6,16600,2/7/2015,2000,40,365,3260,4460,11360,Active
Product A,Female,Location 39,Region 6,20250,12/11/2015,2000,50,365,1651,2901,13451,Active
Product D,Male,Location 59,Region 6,20250,6/9/2013,2000,50,365,3961,4961,16261,Active
Product B,Male,Location 44,Region 1,16600,4/12/2015,2000,40,365,3021,3761,11161,Active
Product B,Male,Location 60,Region 3,16600,1/5/2015,2000,40,365,3201,4561,16381,Active
Product B,Male,Location 29,Region 1,16600,3/21/2014,2000,40,365,3200,4440,11920,Active
Product B,Female,Location 44,Region 1,16600,8/10/2014,2000,40,365,3261,4366,7276,Active
Product B,Male,Location 61,Region 2,16600,1/12/2015,2000,40,365,3131,4331,16178,Active
Product B,Male,Location 62,Region 3,16600,10/25/2014,2000,40,365,3400,4280,13280,Active
Product B,Female,Location 6,Region 1,16600,6/12/2014,2000,40,365,3080,3400,9040,Active
Product A,Male,Location 23,Region 4,19250,2/12/2016,1000,50,365,1050,2150,12000,Active
Product C,NotSpecified,Location 64,Region 6,15600,11/9/2012,1000,40,365,2120,3240,10360,Active
Product C,Female,Location 65,Region 2,15600,1/24/2013,1000,40,365,2200,3400,14400,Active
Product D,Male,Location 66,Region 2,20250,7/7/2013,2000,50,365,2250,2350,2480,Active
Product B,Male,Location 23,Region 4,16600,3/6/2015,2000,40,365,3081,4241,15706,Active
Product A,Male,Location 19,Region 2,22250,8/4/2015,4000,50,365,14500,14500,21650,Active
Product A,Male,Location 50,Region 1,22250,5/27/2015,4000,50,365,5400,6950,17570,Active
Product D,Male,Location 68,Region 6,20250,4/9/2013,2000,50,365,3301,4501,14431,Active
Product A,Female,Location 61,Region 2,20250,12/17/2015,2000,50,365,1501,2901,12451,Active
Product B,Female,Location 10,Region 2,16600,11/11/2014,2000,40,365,3681,6081,16241,Active
Product C,Female,Location 64,Region 6,15600,8/7/2012,1000,40,365,2380,3300,14620,Active
Product B,Male,Location 70,Region 7,16600,9/16/2014,2000,40,365,3401,3401,12921,Active
Product B,Male,Location 72,Region 3,16600,4/17/2014,2000,40,365,4901,5101,16191,Active
Product A,Male,Location 40,Region 6,22250,4/25/2016,4000,50,365,6380,7380,17350,Active
Product A,Male,Location 20,Region 1,20750,9/14/2015,2500,50,365,2250,3600,11400,Active
Product A,Male,Location 73,Region 4,22250,9/11/2015,4000,50,365,5350,6800,17400,Active
Product A,Female,Location 20,Region 1,19250,1/31/2016,1000,50,365,800,1850,12650,Active
Product D,Male,Location 75,Region 3,20250,7/28/2013,2000,50,365,3551,4851,19801,Active
Product D,Male,Location 76,Region 2,20250,11/5/2013,2000,50,365,3481,4911,19007,Active
Product D,Female,Location 77,Region 3,20250,8/29/2013,2000,50,365,7050,7150,18300,Active
Product A,Male,Location 2,Region 2,19250,11/28/2015,1000,50,365,400,1250,8450,Active
Product B,Male,Location 4,Region 4,16600,6/10/2014,2000,40,365,4200,4590,14480,Active
Product A,Female,Location 78,Region 4,22250,6/5/2015,4000,50,365,6250,7200,20900,Active
Product D,Male,Location 79,Region 1,20250,7/22/2013,2000,50,365,3650,4950,19150,Active
Product B,Female,Location 80,Region 2,16600,3/16/2014,2000,40,365,4001,5001,16551,Active
Product A,Female,Location 25,Region 3,19250,6/3/2016,1000,50,365,-2450,-2000,1500,Active
Product A,Male,Location 11,Region 3,22250,12/6/2015,4000,50,365,6000,6550,12980,Active
Product B,Male,Location 81,Region 10,16600,4/27/2014,2000,40,365,3401,4281,10861,Active
Product A,Male,Location 82,Region 7,19250,12/21/2015,1000,50,365,100,600,2850,Active
Product B,Male,Location 32,Region 6,16600,12/23/2014,2000,40,365,2941,3621,15241,Active
Product A,Male,Location 84,Region 3,22250,5/30/2015,4000,50,365,5350,6500,14400,Active
Product D,Male,Location 34,Region 1,20250,4/22/2013,2000,50,365,3551,4051,14501,Active
Product B,Male,Location 87,Region 6,16600,10/26/2014,2000,40,365,6681,6681,15491,Active
Product B,Male,Location 17,Region 3,16600,4/15/2015,2000,40,365,3181,4271,13146,Active
Product A,Female,Location 49,Region 6,19250,8/9/2015,1000,50,365,1730,2480,13200,Active
Product B,Male,Location 53,Region 6,16600,5/11/2015,2000,40,365,3401,5056,8996,Active
Product B,Male,Location 2,Region 2,16600,6/1/2014,2000,40,365,3400,4320,13240,Active
Product A,Female,Location 47,Region 7,22250,12/25/2015,4000,50,365,5500,6800,14665,Active
Product A,Male,Location 89,Region 6,22250,7/23/2015,4000,50,365,5500,6790,21600,Active
Product B,Male,Location 90,Region 6,16600,8/30/2014,2000,40,365,3201,3201,9151,Active
Product B,Female,Location 22,Region 6,16600,2/3/2014,2000,40,365,3401,4621,13061,Active
Product A,Female,Location 22,Region 6,19250,2/29/2016,1000,50,365,-2150,-910,7010,Active
Product B,Male,Location 91,Region 6,16600,5/15/2015,2000,40,365,4601,5801,15068,Active
Product A,Male,Location 25,Region 3,22250,8/28/2015,4000,50,365,4900,5650,10100,Active
Product A,Male,Location 62,Region 3,19250,2/8/2016,1000,50,365,1900,4000,18250,Active
Product B,Male,Location 94,Region 6,16600,3/11/2014,2000,40,365,3561,4701,15851,Active
Product B,Female,Location 38,Region 3,16600,3/26/2015,2000,40,365,3181,3801,10118,Active
Product A,Male,Location 42,Region 4,19250,8/13/2015,1000,50,365,2730,3340,17575,Active
Product B,Male,Location 6,Region 1,16600,5/5/2014,2000,40,365,3001,4161,14721,Active
Product A,Female,Location 3,Region 3,22250,5/23/2015,4000,50,365,5100,5650,10700,Active
Product B,Female,Location 97,Region 5,16600,2/24/2014,2000,40,365,2841,3641,12601,Active
Product C,NotSpecified,Location 98,Region 11,15600,12/10/2012,1000,40,365,2070,3340,15216,Active
Product B,Male,Location 18,Region 7,16600,11/7/2014,2000,40,365,3441,4361,16441,Active
Product D,Male,Location 86,Region 6,20250,12/16/2013,2000,50,365,6251,7751,20201,Active
Product B,Female,Location 13,Region 6,16600,4/29/2015,2000,40,365,4600,6900,14400,Active
Product A,Female,Location 25,Region 3,19250,5/7/2016,1000,50,365,-1860,-440,12200,Active
Product A,Female,Location 6,Region 1,19250,5/6/2016,1000,50,365,-1450,0,13850,Active
Product A,Male,Location 94,Region 6,19250,11/22/2015,1000,50,365,-350,600,12200,Active
Product C,NotSpecified,Location 101,Region 9,15600,6/26/2012,1000,40,365,2100,3600,10000,Active
Product A,Male,Location 87,Region 6,22250,7/30/2015,4000,50,365,5500,6550,16600,Active
Product A,Female,Location 9,Region 6,22250,8/3/2015,4000,50,365,5400,6840,16625,Active
Product B,Male,Location 73,Region 4,16600,4/9/2014,2000,40,365,3701,5201,16151,Active
Product D,Male,Location 102,Region 6,20250,7/9/2013,2000,50,365,4000,6000,14590,Active
Product B,Male,Location 23,Region 4,16600,7/25/2014,2000,40,365,3080,4280,14400,Active
Product B,Male,Location 10,Region 2,16600,8/16/2014,2000,40,365,3121,4201,10451,Active
Product A,Male,Location 26,Region 3,20750,9/11/2015,2500,50,365,2150,2650,14750,Active
Product A,Female,Location 87,Region 6,20250,7/30/2016,2000,50,365,1950,3350,17800,Active
Product B,Male,Location 61,Region 2,16600,10/31/2014,2000,40,365,2960,3760,11480,Active
Product B,Male,Location 11,Region 3,16600,6/5/2014,2000,40,365,3481,4241,9781,Active
Product B,Male,Location 25,Region 3,16600,2/15/2015,2000,40,365,3501,5501,11801,Active
Product C,Male,Location 27,Region 2,15600,1/18/2013,1000,40,365,2160,3260,13740,Active
Product B,Male,Location 84,Region 3,16600,4/25/2015,2000,40,365,3761,4161,10761,Active
Product C,NotSpecified,Location 105,Region 10,15600,7/24/2012,1000,40,365,2360,3580,12200,Active
Product A,Male,Location 88,Region 7,19250,12/28/2015,1000,50,365,640,2120,14174,Active
Product D,Male,Location 106,Region 6,16600,2/17/2014,2000,40,365,3201,4331,16311,Active
Product B,Female,Location 39,Region 6,16600,3/23/2014,2000,40,365,3400,4600,16159,Active
Product D,Male,Location 41,Region 1,20250,5/18/2013,2000,50,365,3951,4951,14251,Active
Product A,Female,Location 21,Region 7,19250,2/5/2016,1000,50,365,750,2250,17250,Active
Product C,Female,Location 107,Region 2,15600,8/12/2012,1000,40,365,2120,3320,14870,Active
Product B,Female,Location 53,Region 6,16600,4/23/2015,2000,40,365,3941,3941,8201,Active
Product B,Female,Location 49,Region 6,16600,3/20/2015,2000,40,365,3040,4320,13240,Active
Product B,Male,Location 82,Region 7,16600,5/5/2014,2000,40,365,3440,4640,15820,Active
Product C,NotSpecified,Location 110,Region 6,15600,8/3/2012,1000,40,365,2100,3420,15130,Active
Product B,Male,Location 111,Region 6,16600,10/26/2014,2000,40,365,3270,4200,15890,Active
Product C,NotSpecified,Location 112,Region 2,15600,5/11/2012,1000,40,365,2320,3520,14936,Active
Product A,Female,Location 60,Region 3,19250,1/20/2016,1000,50,365,750,2750,6900,Active
Product A,Male,Location 2,Region 2,22250,3/13/2016,4000,50,365,5600,7000,21200,Active
Product A,Male,Location 111,Region 6,20250,7/14/2016,2000,50,365,1601,3101,17551,Active
Product A,Male,Location 19,Region 2,19250,10/6/2015,1000,50,365,300,850,6750,Active
Product A,Male,Location 4,Region 4,22250,10/8/2015,4000,50,365,5400,6300,18300,Active
Product B,Male,Location 113,Region 3,16600,8/21/2014,2000,40,365,3440,4580,12460,Active
Product A,Male,Location 20,Region 1,22250,11/3/2015,4000,50,365,5790,6840,13520,Active
Product E,Male,Location 10,Region 2,54625,7/22/2016,9000,125,365,12251,15626,34514,Active
Product E,Male,Location 53,Region 6,54625,1/8/2016,9000,125,365,11751,15451,26876,Active
Product B,Male,Location 84,Region 3,16600,12/18/2014,2000,40,365,2900,4480,10915,Active
Product A,Female,Location 10,Region 2,22250,3/11/2016,4000,50,365,5400,6450,16450,Active
Product A,Male,Location 39,Region 6,22250,6/8/2015,4000,50,365,5500,6900,16150,Active
Product A,Male,Location 114,Region 6,22250,12/22/2015,4000,50,365,4750,6150,13930,Active
Product A,Female,Location 60,Region 3,22250,9/3/2015,4000,50,365,6000,7000,16590,Active
Product C,NotSpecified,Location 115,Region 6,15600,7/20/2012,1000,40,365,2105,3260,13125,Active
Product A,Male,Location 26,Region 3,19250,12/21/2015,1000,50,365,800,2000,9350,Active
Product B,Female,Location 117,Region 1,16600,1/29/2015,2000,40,365,3400,4400,15900,Active
Product A,Male,Location 25,Region 3,22250,3/11/2016,4000,50,365,5300,6700,14650,Active
Product D,Female,Location 118,Region 2,20250,8/16/2013,2000,50,365,3150,4450,16995,Active
Product A,Female,Location 61,Region 2,22250,6/6/2015,4000,50,365,5050,5050,6400,Active
Product B,Male,Location 19,Region 2,16600,9/29/2014,2000,40,365,3400,4600,14560,Active
Product A,Male,Location 70,Region 7,19250,3/26/2016,1000,50,365,-2550,-2100,1100,Active
Product A,Female,Location 3,Region 3,20250,12/17/2015,2000,50,365,1500,3850,9050,Active
Product B,Female,Location 27,Region 2,16600,9/13/2014,2000,40,365,2951,3951,12341,Active
Product D,Male,Location 122,Region 5,20250,5/24/2013,2000,50,365,3451,4851,10881,Active
Product B,Male,Location 39,Region 6,16600,8/30/2014,2000,40,365,3280,4400,16290,Active
Product B,Male,Location 123,Region 6,16600,5/4/2014,2000,40,365,3041,4201,8561,Active
Product D,Male,Location 124,Region 3,20250,11/12/2013,2000,50,365,3751,5251,18521,Active
Product A,Male,Location 86,Region 6,20250,1/7/2016,2000,50,365,1581,3041,12277,Active
Product B,Female,Location 25,Region 3,16600,12/18/2014,2000,40,365,3101,4241,14621,Active
Product A,Male,Location 22,Region 6,20250,12/27/2015,2000,50,365,1851,3051,13561,Active
Product A,Male,Location 49,Region 6,19250,8/7/2015,1000,50,365,610,2265,17070,Active
Product B,Female,Location 34,Region 1,16600,5/9/2014,2000,40,365,3401,4781,16421,Active
Product A,Female,Location 113,Region 3,20750,9/4/2015,2500,50,365,2500,4100,16650,Active
Product D,Male,Location 125,Region 12,20250,10/19/2013,2000,50,365,3501,4651,16348,Active
Product A,Male,Location 58,Region 6,22250,8/31/2015,4000,50,365,5330,6750,16922,Active
Product B,Female,Location 62,Region 3,16600,8/20/2014,2000,40,365,2561,3041,7241,Active
Product A,Male,Location 26,Region 3,20250,7/16/2016,2000,50,365,850,1900,10850,Active
Product D,Male,Location 127,Region 2,20250,3/30/2013,2000,50,365,3351,5051,16551,Active
Product B,Male,Location 21,Region 7,16600,8/31/2014,2000,40,365,3290,4330,14524,Active
Product A,Female,Location 22,Region 6,20250,1/3/2016,2000,50,365,1351,2401,7551,Active
Product A,Male,Location 46,Region 2,20750,9/28/2015,2500,50,365,2050,3850,18200,Active
Product B,Female,Location 49,Region 6,16600,7/23/2014,2000,40,365,4651,4651,16451,Active
Product B,Male,Location 48,Region 6,16600,12/16/2014,2000,40,365,3400,4240,16240,Active
Product A,Male,Location 86,Region 6,22250,6/12/2015,4000,50,365,5400,6850,12150,Active
Product A,Male,Location 18,Region 7,22250,8/28/2015,4000,50,365,5500,6800,17230,Active
Product A,Female,Location 30,Region 2,22250,7/11/2015,4000,50,365,7350,9350,20600,Active
Product B,Male,Location 49,Region 6,16600,1/4/2015,2000,40,365,3261,4561,16421,Active
Product E,Male,Location 84,Region 3,54625,6/8/2016,9000,125,365,12501,16001,52751,Active
Product B,Male,Location 35,Region 6,16600,5/23/2014,2000,40,365,3561,5253,16323,Active
Product A,Male,Location 53,Region 6,22250,6/6/2015,4000,50,365,5400,6700,19830,Active
Product B,Male,Location 73,Region 4,16600,11/28/2014,2000,40,365,3520,4320,16000,Active
Product D,Male,Location 135,Region 1,20250,8/28/2013,2000,50,365,3601,5051,19551,Active
Product A,Female,Location 60,Region 3,22250,6/22/2016,4000,50,365,5453,5623,13443,Active
Product C,Male,Location 136,Region 6,15600,5/27/2012,1000,40,365,2080,3640,14920,Active
Product D,Male,Location 24,Region 2,20250,6/24/2013,2000,50,365,3650,5100,14400,Active
Product B,Male,Location 137,Region 6,16600,5/13/2014,2000,40,365,3701,5751,12551,Active
Product E,Male,Location 73,Region 4,54625,12/21/2015,9000,125,365,12270,16070,45745,Active
Product B,Female,Location 28,Region 7,16600,1/3/2015,2000,40,365,3491,3811,7676,Active
Product B,Female,Location 58,Region 6,16600,3/5/2014,2000,40,365,3601,4441,15691,Active
Product A,Male,Location 111,Region 6,22250,4/21/2016,4000,50,365,5230,6510,14520,Active
Product A,Female,Location 44,Region 1,19250,2/7/2016,1000,50,365,1250,2250,13800,Active
Product A,Male,Location 47,Region 7,19250,12/9/2015,1000,50,365,630,1590,14000,Active
Product A,Male,Location 21,Region 7,19250,11/14/2015,1000,50,365,1450,2750,17200,Active
Product A,Female,Location 11,Region 3,22250,6/10/2016,4000,50,365,5300,6800,18900,Active
Product C,Male,Location 138,Region 5,15600,12/31/2012,1000,40,365,3100,3700,12720,Active
Product A,Female,Location 11,Region 3,22250,9/6/2015,4000,50,365,4980,5240,12910,Active
Product C,NotSpecified,Location 139,Region 6,15600,9/24/2012,1000,40,365,2560,3680,14340,Active
Product B,Female,Location 73,Region 4,16600,5/24/2014,2000,40,365,3031,4231,15831,Active
Product A,Female,Location 32,Region 6,22250,5/30/2015,4000,50,365,5150,6400,15650,Active
Product A,Male,Location 22,Region 6,22250,3/27/2016,4000,50,365,5300,6600,18950,Active
Product B,Male,Location 140,Region 6,16600,5/10/2014,2000,40,365,3160,4440,15600,Active
Product A,Male,Location 9,Region 6,20750,9/25/2015,2500,50,365,2120,3700,17750,Active
Product A,Male,Location 3,Region 3,19250,4/23/2016,1000,50,365,-1650,50,13450,Active
Product B,Male,Location 67,Region 1,16600,4/23/2015,2000,40,365,3221,4341,15741,Active
Product B,Male,Location 141,Region 12,16600,3/8/2014,2000,40,365,3201,4401,14721,Active
Product B,Female,Location 17,Region 3,16600,12/27/2014,2000,40,365,3401,4241,11341,Active
Product A,Male,Location 142,Region 6,22250,9/3/2015,4000,50,365,5350,6700,14400,Active
Product A,Female,Location 45,Region 3,19250,1/1/2016,1000,50,365,350,1000,5500,Active
Product B,Male,Location 23,Region 4,16600,11/19/2014,2000,40,365,3417,4617,14457,Active
Product B,Male,Location 6,Region 1,16600,2/6/2015,2000,40,365,3401,4321,13121,Active
Product A,Male,Location 19,Region 2,19250,10/20/2015,1000,50,365,650,1700,13600,Active
Product A,Male,Location 48,Region 6,19250,4/21/2016,1000,50,365,-1900,-400,14400,Active
Product B,Male,Location 8,Region 2,16600,3/10/2014,2000,40,365,3350,4220,14490,Active
Product D,Male,Location 143,Region 6,20250,9/28/2013,2000,50,365,2801,3626,4676,Active
Product A,Female,Location 44,Region 1,22250,6/21/2015,4000,50,365,4760,6210,13050,Active
Product C,Male,Location 145,Region 4,15600,3/15/2013,1000,40,365,2040,3280,14980,Active
Product B,Male,Location 21,Region 7,16600,9/5/2014,2000,40,365,3120,4320,15560,Active
Product B,Male,Location 62,Region 3,16600,3/22/2014,2000,40,365,4601,4601,16071,Active
Product E,Male,Location 1,Region 1,54625,4/22/2016,9000,125,365,12476,15701,38251,Active
Product A,Male,Location 62,Region 3,19250,5/26/2016,1000,50,365,-1800,-350,12900,Active
Product A,Female,Location 18,Region 7,22250,6/4/2015,4000,50,365,5600,6800,18300,Active
Product B,Female,Location 6,Region 1,16600,4/23/2015,2000,40,365,3321,4501,13921,Active
Product A,Male,Location 91,Region 6,22250,6/13/2015,4000,50,365,5250,6750,8250,Active
Product A,Female,Location 25,Region 3,19250,3/28/2016,1000,50,365,-1700,-450,10300,Active
Product A,Female,Location 17,Region 3,19250,3/24/2016,1000,50,365,-1850,-50,12350,Active
Product A,Female,Location 22,Region 6,20750,9/27/2015,2500,50,365,1850,2650,11250,Active
Product A,Female,Location 29,Region 1,20750,9/17/2015,2500,50,365,1950,2730,7860,Active
Product B,Male,Location 91,Region 6,16600,4/22/2014,2000,40,365,2761,3961,10431,Active
Product B,Female,Location 25,Region 3,16600,1/9/2015,2000,40,365,3151,4441,13541,Active
Product A,Male,Location 149,Region 1,22250,10/27/2015,4000,50,365,6250,7250,21650,Active
Product B,Male,Location 9,Region 6,16600,4/23/2014,2000,40,365,3401,3931,7611,Active
Product B,Male,Location 3,Region 3,16600,7/14/2014,2000,40,365,3560,4740,14020,Active
Product B,Male,Location 21,Region 7,16600,11/1/2014,2000,40,365,3400,4600,15310,Active
Product B,Female,Location 44,Region 1,16600,8/28/2014,2000,40,365,3401,4601,10681,Active
Product C,Female,Location 152,Region 6,15600,11/1/2012,1000,40,365,2240,3340,14030,Active
Product A,Male,Location 58,Region 6,19250,11/20/2015,1000,50,365,800,2100,16020,Active
Product D,Male,Location 153,Region 6,20250,5/5/2013,2000,50,365,3800,5050,19650,Active
Product A,Female,Location 22,Region 6,22250,2/16/2016,4000,50,365,7500,7500,16210,Active
Product A,Female,Location 3,Region 3,19250,11/17/2015,1000,50,365,750,2050,15250,Active
Product A,Female,Location 3,Region 3,22250,7/22/2015,4000,50,365,5810,7280,21900,Active
Product A,Male,Location 6,Region 1,22250,2/21/2016,4000,50,365,6000,8250,21250,Active
Product A,Female,Location 45,Region 3,22250,8/23/2015,4000,50,365,5600,6385,12715,Active
Product B,Male,Location 155,Region 6,16600,1/23/2014,2000,40,365,3681,4881,13831,Active
Product D,Female,Location 156,Region 4,20250,6/23/2013,2000,50,365,3301,4751,18351,Active
Product B,Male,Location 135,Region 1,16600,10/27/2014,2000,40,365,4081,4681,13841,Active
Product B,Female,Location 84,Region 3,16600,8/2/2014,2000,40,365,2750,3830,15070,Active
Product B,Female,Location 40,Region 6,16600,11/8/2014,2000,40,365,2961,3921,11699,Active
Product A,Female,Location 62,Region 3,19250,12/7/2015,1000,50,365,450,1700,9370,Active
Product B,Female,Location 45,Region 3,16600,6/7/2014,2000,40,365,3920,5120,14500,Active
Product B,Female,Location 157,Region 4,16600,2/16/2014,2000,40,365,4601,5101,15151,Active
Product C,NotSpecified,Location 158,Region 3,15600,3/6/2013,1000,40,365,2300,3300,13000,Active
Product B,Male,Location 13,Region 6,16600,10/3/2014,2000,40,365,3261,4301,15049,Active
Product A,Male,Location 39,Region 6,22250,7/26/2015,4000,50,365,5400,6800,18550,Active
Product A,Female,Location 17,Region 3,19250,10/13/2015,1000,50,365,1750,3350,17250,Active
Product A,Female,Location 67,Region 1,22250,1/2/2016,4000,50,365,5450,7000,20750,Active
Product A,Female,Location 26,Region 3,22250,2/1/2016,4000,50,365,5000,5000,13450,Active
Product C,NotSpecified,Location 159,Region 3,15600,1/5/2013,1000,40,365,2180,3440,11740,Active
Product C,Female,Location 160,Region 8,15600,8/11/2012,1000,40,365,2020,3060,9220,Active
Product B,Male,Location 144,Region 1,16600,1/24/2014,2000,40,365,3001,3401,5241,Active
Product A,Male,Location 91,Region 6,19250,8/9/2015,1000,50,365,550,1150,10770,Active
Product B,Male,Location 70,Region 7,16600,3/27/2014,2000,40,365,3401,4281,15428,Active
Product E,Male,Location 26,Region 3,54625,2/20/2016,9000,125,365,12001,15751,38626,Active
Product B,Female,Location 30,Region 2,16600,5/23/2014,2000,40,365,3400,4560,16110,Active
Product B,Male,Location 73,Region 4,16600,6/21/2014,2000,40,365,6520,8780,16570,Active
Product B,Female,Location 10,Region 2,16600,4/8/2015,2000,40,365,3060,4290,14290,Active
Product A,Male,Location 38,Region 3,19250,12/27/2015,1000,50,365,450,2050,12000,Active
Product A,Male,Location 3,Region 3,22250,7/13/2015,4000,50,365,5850,6650,17850,Active
Product A,Male,Location 109,Region 7,22250,4/11/2016,4000,50,365,5550,6900,15950,Active
Product B,Female,Location 4,Region 4,16600,7/23/2014,2000,40,365,3419,4619,14469,Active
Product A,Female,Location 86,Region 6,19250,11/12/2015,1000,50,365,800,2200,17550,Active
Product A,Female,Location 25,Region 3,19250,6/7/2016,1000,50,365,-2100,-1200,7520,Active
Product C,NotSpecified,Location 166,Region 3,15600,2/7/2013,1000,40,365,2310,3430,13940,Active
Product E,Female,Location 88,Region 7,54625,5/6/2016,9000,125,365,12326,16576,45076,Active
Product B,Male,Location 50,Region 1,16600,10/5/2014,2000,40,365,2881,4081,11901,Active
Product B,Male,Location 88,Region 7,16600,10/30/2014,2000,40,365,3001,4081,10861,Active
Product C,NotSpecified,Location 34,Region 1,15600,1/31/2013,1000,40,365,1900,3420,14650,Active
Product D,Male,Location 168,Region 5,20250,11/10/2013,2000,50,365,3400,4750,17240,Active
Product A,Male,Location 42,Region 4,19250,11/11/2015,1000,50,365,750,2350,11450,Active
Product A,Female,Location 70,Region 7,19250,3/12/2016,1000,50,365,-1750,-400,13550,Active
Product C,NotSpecified,Location 74,Region 6,15600,1/31/2013,1000,40,365,2080,3280,12560,Active
Product C,NotSpecified,Location 143,Region 6,15600,2/5/2013,1000,40,365,2060,3140,8300,Active
Product A,Female,Location 29,Region 1,19250,5/18/2016,1000,50,365,-2150,-750,3600,Active
Product B,Male,Location 46,Region 2,16600,3/31/2015,2000,40,365,3401,4901,14561,Active
